"ID","Data Source","Project/Plant Name","Status","Rated Power (kW)","Discharge Duration at Rated Power (hrs)","Storage Capacity (kWh)","Applications.Bulk Energy Services (General Energy Applications).0","Applications.Bulk Energy Services (General Energy Applications).1","Applications.Bulk Energy Services (General Energy Applications).2","Applications.Ancillary Services.0","Applications.Ancillary Services.1","Applications.Ancillary Services.2","Applications.Ancillary Services.3","Applications.Ancillary Services.4","Applications.Ancillary Services.5","Applications.Transmission Infrastructure Services.0","Applications.Transmission Infrastructure Services.1","Applications.Distribution Infrastructure Services.0","Applications.Customer Energy Management Services (End-User Services).0","Applications.Customer Energy Management Services (End-User Services).1","Applications.Customer Energy Management Services (End-User Services).2","Applications.Customer Energy Management Services (End-User Services).3","Applications.Others.0","Paired Grid Resources","Description/Notes","URL","Country","City","County","State/Province","Street Address","Postal Code","Latitude","Longitude","Announced Date","Commissioned Date","Constructed Date","Decommissioned Date","Latest Update Date","Project Data Validated?","Grid Interconnection Level","Interconnection Type","ISO/RTO","System Operator","Utility Type","Utility ID","Number of Subsystems","Energy Storage Technology Provider","Power Electronics Provider","Installer","Developer","O&M Contractor","EPC 1","EPC 2","EPC 3","Ownership Model","Ownership Model (Other)","Owner(s)","Captial Expenditure - CAPEX (USD)","Annual Operational Cost - OPEX (USD)","Annual Maintenance or Warranty Cost (USD)","Projected Payback Period (years)","Debt Provider","Funding Source 1","Funding Source Amount 1 (USD)","Funding Source 2","Funding Source Amount 2 (USD)","Funding Source 3","Funding Source Amount 3 (USD)","Contact Information: Name","Contact Information: Email Address","Contact Information: Phone Number","Subsystems.0.Subsystem Name","Subsystems.0.ID","Subsystems.0.Storage Device.Technology Broad Category","Subsystems.0.Storage Device.Technology Mid-Type","Subsystems.0.Storage Device.Technology Sub-Type","Subsystems.0.Storage Device.Storage Capacity (kWh)","Subsystems.0.Storage Device.Round-trip Efficiency (%)","Subsystems.0.Storage Device.Depth of Discharge (%)","Subsystems.0.Storage Device.Warranty Lifetime (cycles)","Subsystems.0.Storage Device.Warranty Lifetime (years)","Subsystems.0.Storage Device.Storage Operating Temperature (deg C)","Subsystems.0.Storage Device.Specific Energy (kWh/ton-metric)","Subsystems.0.Storage Device.Energy Density (kWh/m^3)","Subsystems.0.Storage Device.Footprint (m^2/MWh)","Subsystems.0.Storage Device.Number of Cells","Subsystems.0.Power Conversion System.Rated Power (kW)","Subsystems.0.Power Conversion System.Maximum Charge Power (kW)","Subsystems.0.Power Conversion System.Maximum Discharge Power (kW)","Subsystems.0.Power Conversion System.Overload Capability (%)","Subsystems.0.Power Conversion System.Time Allowed for Overload (s)","Subsystems.0.Power Conversion System.Ramping Rate (kW/min)","Subsystems.0.Power Conversion System.Response Time (s)","Subsystems.0.Power Conversion System.Nominal DC Voltage (kV)","Subsystems.0.Power Conversion System.Nominal AC Voltage (kV)","Subsystems.0.Power Conversion System.Nominal Frequency (Hz)","Subsystems.0.Power Conversion System.Operating Frequency Range (Hz) Low","Subsystems.0.Power Conversion System.Operating Frequency Range (Hz) High","Subsystems.0.Power Conversion System.Number of Phases","Subsystems.0.Power Conversion System.Topology","Subsystems.0.Power Conversion System.Full Load Efficiency (%)","Subsystems.0.Power Conversion System.Efficiency Degradation","Subsystems.0.Power Conversion System.Standby Energy Consumption (kWh)","Subsystems.0.Power Conversion System.Lagging Power Factor Range","Subsystems.0.Power Conversion System.Leading Power Factor Range","Subsystems.0.Power Conversion System.Maximum Total Current Harmonic Distortion (%)","Subsystems.0.Power Conversion System.Frequency Ride Through (FRT)","Subsystems.0.Power Conversion System.Low Voltage Ride Through (LVRT)","Subsystems.0.Power Conversion System.High Voltage Ride Through (HVRT)","Subsystems.0.Power Conversion System.Warranty Lifetime (years)","Subsystems.0.Balance of System.Transformer Rating","Subsystems.0.Balance of System.Transformer Configuration","Subsystems.0.Balance of System.Enclosure Operating Temperature (deg C)","Subsystems.0.Balance of System.Operating Temperature (deg C)","Subsystems.0.Balance of System.Communications","Subsystems.0.Balance of System.Enclosures","Subsystems.0.Balance of System.Controller Type"
"307","GESDB","Presidio NAS Energy Storage System - American Electric Power","Operational","4000","8","32000","","","","Voltage Support","Operating Reserve (Non-Spinning)","","","","","","","","","","","","Electric Supply Capacity","null","The Big-Old Battery (BOB) is a 4 MW sulfur sodium battery providing backup power to the town of Presidio, Texas. Presidio currently operates with an aging transmission grid and is vulnerable to outages from the Texas plains' powerful electrical storms. BOB will fix this problem and do much more. Overall, BOB provides the following benefits:  -  Due to its quick response, the battery will address voltage fluctuations and momentary outages.   -  In the event of an outage on the radial transmission line providing power to Presidio, the battery can supply four megawatts of uninterrupted power for up to eight hours. This will also allow for a transfer of electricity sourcing from the Texas grid to that of neighboring Comisiόn Federal de Electricidad (CFE) during emergency situations. This process can often take several hours.  - The battery will allow for maintenance on the new transmission line being built from Marfa to Presidio without loss of electric service.      Watch 'ETT's Presidio NAS® Battery: A Story of Technology, Tenacity and Teamwork' - http://www.youtube.com/watch?v=54_xP0NzY7M","http://www.ettexas.com/projects/docs/NaS_Battery_Overview.pdf","United States","Presidio","null","Texas","null","null","29.5607383","-104.37","01-09-2009","01-04-2010","null","null","null","NO","Transmission","null","ERCOT","null","Investor Owned","null","1","NGK-Locke, Inc.","S&amp;C Electric Company","S&amp;C Electric Company","American Electric Power","S&amp;C Electric Company","S&amp;C Electric Company","null","null","Utility-Owned","null","Electric Transmission Texas (American Electric Power)","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Subsystem 1","307.1","Electro-chemical battery and chemical storage","Sodium-based battery","Sodium-sulfur battery","null","null","null","null","null","null","null","null","null","null","4000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"316","GESDB","Brooklyn Army Terminal Smart Grid Demonstration Project","Operational","100","4","400","","","","","","","","","","","","","Retail TOU Energy Charges","","","","","null","NYCEDC's Brooklyn Army Terminal Smart Grid Demonstration Project, a partnership with Con Edison through the Dept. of Energy, integrates battery storage, solar PV, and building management systems. The system demonstrates the benefits of on-site renewable energy generation coupled with energy storage systems to reduce peak energy demands and offset energy costs.   http://www.nycedc.com/industry/clean-technology-energy","http://www.nycedc.com/program/smart-grid-brooklyn-army-terminal","United States","Brooklyn","null","New York","140 58th S","11220","40.6526006","-73.9497211","null","01-11-2010","null","null","null","NO","null","null","NYISO","null","Investor Owned","null","1","Hitachi","Princeton Power Systems","Future Energy Development; Kanta Electric; ABM Systems; Viridity Energy","New York City Economic Development Corporation","null","Plaza Construction","null","null","Customer-Owned","null","Confidential","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Subsystem 1","316.1","Electro-chemical battery and chemical storage","Lead-acid battery","Valve regulated lead-acid battery","null","null","null","null","null","null","null","null","null","null","100","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"321","GESDB","SCE Tehachapi Beacon Gen 4 FESS - 100 kW System","Operational","100","0.25","25","","","","Frequency Regulation","","","","","","Transmission Upgrade Deferral","","","","","","","","Wind","&lt;p&gt;This Beacon Flywheel Energy Storage System (FESS) is the continuation of the system at the PG&amp;amp;E San Ramon research center. After successful trials, Beacon swapped the seven 15 kW system for a one 100 kW system. The project was funded and owned by the California Energy Commission (CEC) and the single 100 kW unit is was deployed to the Southern California Edison Tehachapi Windfarm in 2010.&lt;/p&gt;","http://www.businesswire.com/news/home/20100312005447/en/Beacon-Power-Connects-Flywheel-Energy-Storage-System#.U81KNfldV8E","United States","Tehachapi","null","California","null","null","35.1321877","-118.4489739","05-01-2008","03-12-2010","null","null","null","NO","Transmission","null","CAISO","null","Investor Owned","null","1","Beacon Power, LLC","null","null","null","null","Alternative Energy Systems Consulting","null","null","Third-Party-Owned","null","California Energy Commission","null","null","null","null","null","State/Provincial/Regional RD&amp;D","null","null","null","null","null","null","null","null","Subsystem 1","321.1","Electro-mechanical energy storage","Flywheel","","null","null","null","null","null","null","null","null","null","null","100","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"322","GESDB","Long Island Power Authority Long Island Smart Energy Corridor","Operational","8","0","0","Electric Energy Time Shift (Arbitrage)","","","","","","","","","","","","","","","","","null","Twelve sealed absorbed glass mat (AGM) lead acid batteries planned for demonstration of storage in the residential demonstration model at Farmingdale; 60 Amp, 720 W, 12 V. The Long Island Power Authority (LIPA) is teaming with Stony Brook University and Farmingdale State College to create a Smart Energy Corridor located along Route 110 in Melville, Farmingdale, and South Huntington, New York.   The demonstration project will integrate advanced metering infrastructure (AMI) technology with automated substation and distribution systems to reduce peak demand and energy costs while improving the ability to identify and respond to outages. AMI will be installed at 2,338 consumer locations, 1,488 will be residential. Data collectors will be installed along the Corridor to facilitate network communications. LIPA will install digital control and communications devices on 51 capacitor banks and will also install devices that automate monitoring and control of 18 overhead switches and 6 underground switches.   A key aspect of this project is to evaluate the impact of a range of variables on customer behavior and consumption, including an alternative tariff structure, provision of varying levels of information and analytical tools, and outreach and energy automation for a sample of participating customers. Demonstration projects at the Farmingdale campus will include live residential and commercial models showing how intelligent devices can enable customers to understand and control their usage and integrate distributed renewable energy. Farmingdale will also provide training and education to students, technicians, and businesses as well as outreach to the community.  Stony Brook University will investigate cyber security issues, research load forecasting and modeling techniques that leverage Smart Grid data, and develop tools to help customers better visualize and understand their energy usage.","http://www.smartgrid.gov/project/long_island_power_authority_long_island_smart_energy_corridor","United States","Uniondale","null","New York","333 Earle Ovington Boulevard","11553-3606","40.7233004","-73.59","null","05-02-2010","null","null","null","NO","null","null","NYISO","null","Public Owned","null","1","null","null","null","null","null","null","null","null","Utility-Owned","null","Long Island Power Authority","null","null","null","null","null","Federal/National Office of Electricity and Reliability Ã¢â‚¬â€œ RD&amp;D","null","null","null","null","null","null","null","null","Subsystem 1","322.1","Electro-chemical battery and chemical storage","Lead-acid battery","","null","null","null","null","null","null","null","null","null","null","8","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"323","GESDB","EMC Durham Cloud Data Center VYCON Flywheels - Three 675 kW Flywheels","Operational","4000","0","0","","","","Operating Reserve (Spinning)","","","","","","","","Reliability","","","","","","null","&lt;p&gt;Continuous power to the data center is provided by 2N redundant Uninterruptable Power Systems; each system contains three 675 kW UPS modules utilizing flywheel technologies that eliminate the need for battery storage.&lt;/p&gt;","http://www.emc.com/collateral/emc-perspective/h8734-durham-energy-ep.pdf","United States","Durham","null","North Carolina ","null","null","35.9940329","-78.898619","null","10-01-2010","null","null","null","NO","Transmission","null","","null","Investor Owned","null","1","VYCON","null","null","null","null","null","null","null","Customer-Owned","null","EMC","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Subsystem 1","323.1","Electro-mechanical energy storage","Flywheel","","null","null","null","null","null","null","null","null","null","null","4000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"324","GESDB","South Austin Recreational Center Distributed Energy Storage Pilot","Operational","15","4.67","70.05","Electric Energy Time Shift (Arbitrage)","","","","","","","","","","","","Retail TOU Energy Charges","","","","","null","In conjunction with Austin Energy, Ice Energy has completed the installation of an Ice Bear distributed energy storage project at the South Austin Recreational Center, located in South-Central Austin.","http://www.ice-energy.com/content10196","United States","Austin","null","Texas","1100 Cumberland Road","78704","30.2415445","-97.7685989889","null","11-03-2010","null","null","null","NO","Secondary Distribution","null","ERCOT","null","Public Owned","null","1","ICE Energy","null","ICE Energy","Austin Energy","null","null","null","null","Utility-Owned","null","Austin Energy","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Subsystem 1","324.1","Thermal energy storage","Latent heat","Ice","null","null","null","null","null","null","null","null","null","null","15","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"325","GESDB","Glendale Water and Power -  Ice Energy","Operational","1500","0","0","Electric Energy Time Shift (Arbitrage)","","","","","","","","","Transmission Congestion Relief","","","","","","","Electric Supply Capacity","Off peak energy purchases","Glendale Water and Power’s (GWP) Ice Bear project installed Ice Thermal Energy storage units at 28 Glendale city buildings and 58 local small, medium sized, and large commercial businesses.  The project was supported by local trade companies and created approximately 40 jobs during the 1 year installation process. A total of 180 Ice Bear units have been installed in Glendale since the program’s inception.  The turnkey system costs $2170/kW.","http://www.energy.ca.gov/2015publications/CEC-500-2015-090/CEC-500-2015-090.pdf","United States","Glendale","null","California","null","null","34.1425078","-118.26","01-01-2010","01-01-2011","null","null","null","NO","null","null","CAISO","null","Public Owned","null","1","Ice Energy","null","Ice Energy","null","null","null","null","null","Utility-Owned","null","Los Angeles Department of Water and Power","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Subsystem 1","325.1","Thermal energy storage","Latent heat","Ice","null","null","null","null","null","null","null","null","null","null","1500","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"332","GESDB","EPRI Energy Storage System Demonstration - BYD","Operational","50","0.92","46","Electric Energy Time Shift (Arbitrage)","Renewable Energy Time Shift","Renewable Energy Time Shift (Firming)","Operating Reserve (Supplementary)","","","","","","","","Distribution Upgrade Deferral","","","","","","Solar PV","The battery unit is one of several that are being tested by EPRI at its Power Delivery &amp; Utilization (PDU) Lab in Knoxville, TN. The system, along with the other Distributed Energy Storage Systems (DESS's), was installed in early/mid 2011 and has since been operating under various stages of testing against EPRI’s DESS test protocol.","http://mydocs.epri.com/docs/publicmeetingmaterials/1104/4ANZGWRJTYQ/E236208_14._B.Kaun_Energy_Storage_Testing_and_Demos.pdf","United States","Knoxville","null","Tennessee","942 Corridor Park Blvd.","null","35.9603948","-83.9210261","null","01-02-2011","null","null","null","NO","Secondary Distribution","null","","null","Public Owned","null","1","BYD","null","null","null","null","null","null","null","Customer-Owned","null","Electric Power Research Institute (EPRI)","null","null","null","null","null","Private/Third Party RD&amp;D","null","null","null","null","null","null","null","null","Subsystem 1","332.1","Electro-chemical battery and chemical storage","Lithium-ion battery","Lithium-iron phosphate battery","null","null","null","null","null","null","null","null","null","null","50","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"333","GESDB","EPRI Energy Storage System Demonstration - Greensmith Energy / International Battery","De-Commissioned","50","1.67","83.5","Electric Energy Time Shift (Arbitrage)","Renewable Energy Time Shift","Renewable Energy Time Shift (Firming)","Operating Reserve (Supplementary)","","","","","","","","Distribution Upgrade Deferral","","","","","","Solar PV","The battery unit is one of several that are being tested by EPRI at its Power Delivery &amp; Utilization (PDU) Lab in Knoxville, TN. The system, along with the other Distributed Energy Storage Systems (DESS's), was installed in early/mid 2011 and has since been operating under various stages of testing against EPRI’s DESS test protocol.","http://mydocs.epri.com/docs/publicmeetingmaterials/1104/4ANZGWRJTYQ/E236208_14._B.Kaun_Energy_Storage_Testing_and_Demos.pdf","United States","Knoxville","null","Tennessee","942 Corridor Park Blvd","null","35.9220262","-84.14","null","01-03-2011","null","01-06-2011","null","NO","Secondary Distribution","null","","null","Public Owned","null","1","International Battery","Greensmith Energy","null","null","null","null","null","null","Customer-Owned","null","Electric Power Research Institute (EPRI)","null","null","null","null","null","Private/Third Party RD&amp;D","null","null","null","null","null","null","null","null","Subsystem 1","333.1","Electro-chemical battery and chemical storage","Lithium-ion battery","Lithium-iron phosphate battery","null","null","null","null","null","null","null","null","null","null","50","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"334","GESDB","EPRI Energy Storage System - Greensmith Energy / Boston Power ","De-Commissioned","25","0.5","12.5","Electric Energy Time Shift (Arbitrage)","Renewable Energy Time Shift","Renewable Energy Time Shift (Firming)","Operating Reserve (Supplementary)","","","","","","","","Distribution Upgrade Deferral","","","","","","Solar PV","The battery unit is one of several that are being tested by EPRI at its Power Delivery &amp; Utilization (PDU) Lab in Knoxville, TN. The system, along with the other Distributed Energy Storage Systems (DESS's), was installed in early/mid 2011 and has since been operating under various stages of testing against EPRI’s DESS test protocol.","http://mydocs.epri.com/docs/publicmeetingmaterials/1104/4ANZGWRJTYQ/E236208_14._B.Kaun_Energy_Storage_Testing_and_Demos.pdf","United States","Knoxville","null","Tennessee","942 Corridor Park Blvd.","null","35.9220262","-84.14","null","01-03-2011","null","01-07-2011","null","NO","Secondary Distribution","null","","null","Public Owned","null","1","Boston Power","Greensmith Energy","null","null","null","null","null","null","Customer-Owned","null","Electric Power Research Institute (EPRI)","null","null","null","null","null","Private/Third Party RD&amp;D","null","null","null","null","null","null","null","null","Subsystem 1","334.1","Electro-chemical battery and chemical storage","Lithium-ion battery","Lithium-iron phosphate battery","null","null","null","null","null","null","null","null","null","null","25","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"335","GESDB","Kahuku Wind Farm - Younicos","De-Commissioned","15000","0.25","3750","Renewable Energy Time Shift (Firming)","","","Voltage Support","Ramp Support","","","","","","","","","","","","","Wind","Younicos installed a 15 MW fully integrated energy storage and power management system designed to provide load firming for a 30 MW wind farm in Hawaii, as well as provide critical grid integration services.  The project was supported by a U.S. DOE Office of Electricity loan guarantee.    A fire destroyed the battery warehouse in August 2012, and due to environmental and safety concerns, it has been replaced with a Dynamic Volt-Amp Reactive system.  The wind farm is back at full capacity as of 2/13/14.","http://energy.gov/lpo/kahuku-wind-power-first-wind","United States","Kahuku","null","Hawaii","56-1101 Kamehameha Hwy,","96731","21.6659535","-157.94","null","01-03-2011","null","07-31-2012","null","NO","Transmission","null","","null","Investor Owned","null","1","Xtreme Power","null","Younicos","First Wind","null","null","null","null","Third-Party-Owned","null","First Wind","null","null","null","null","null","Federal/National Office of Electricity and Reliability Ã¢â‚¬â€œ RD&amp;D","null","null","null","null","null","null","null","null","Subsystem 1","335.1","Electro-chemical battery and chemical storage","Lead-acid battery","Advanced lead-acid battery","null","null","null","null","null","null","null","null","null","null","15000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"339","GESDB","Disney California Adventure","Operational","2000","4","8000","Electric Energy Time Shift (Arbitrage)","","","","","","","","","","","","Retail TOU Energy Charges","","","","","null","In May of 2011, Disney installed a 12,000 ton-hr chilled-water thermal energy storage tank to reduce on-peak electricity demand.","http://www.districtenergy.org/assets/pdfs/2013CampConference/Wednesday/Track-B/1B.1HYMANGENTRYHODCATESPresentation.pdf","United States","Anaheim","null","California","1313 Disneyland Dr.","92802","33.8153513","-117.93","null","01-05-2011","null","null","null","NO","Secondary Distribution","null","CAISO","null","null","null","1","null","null","null","null","null","Goss Engineering","null","null","Customer-Owned","null","Walt Disney Parks and Resorts","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Subsystem 1","339.1","Thermal energy storage","Sensible heat","Chilled water","null","null","null","null","null","null","null","null","null","null","2000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"340","GESDB","Hawi Wind Farm BESS - Hawaii Renewable Partners","Operational","1000","0.25","250","Renewable Energy Time Shift (Firming)","","","Voltage Support","Frequency Regulation","","","","","","","","","","","","","10.6 MW Wind","Altair Nanotechnologies Inc. was awarded a contract with the Hawai'i Natural Energy Institute (HNEI) of the University of Hawai'i at Manoa to supply a 1-MW ALTI-ESS energy storage system for a test of wind energy integration.  The research project, funded through a grant from the Office of Naval Research, is designed to test the performance characteristics of the battery system and to demonstrate the effectiveness of battery storage technology to enable integration of solar energy into an electric grid. The test is expected to demonstrate solutions for integration of greater levels of renewable energy onto the grid, improving capacity utilization, and reducing dependency on fossil-fuel power generation while maintaining grid performance and reliability.","http://www.hnei.hawaii.edu/sites/www.hnei.hawaii.edu/files/Batteries_for_Grid_Management.pdf","United States","Hawaii (Island)","null","Hawaii","null","null","19.5429151","-155.67","01-27-2011","01-06-2011","null","null","null","NO","null","null","","null","null","null","1","Altair Nanotechnologies Inc.","null","null","Hawaii Renewable Partners","null","null","null","null","Customer-Owned","null","Hawaii Renewable Partners, Hawaii Natural Energy Institute","null","null","null","null","null","Federal/National","null","null","null","null","null","null","null","null","Subsystem 1","340.1","Electro-chemical battery and chemical storage","Lithium-ion battery","Lithium-ion titanate battery","null","null","null","null","null","null","null","null","null","null","1000","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"343","GESDB","SDG&E Century Park DESS - Greensmith Energy","Operational","50","1.67","83.5","Renewable Energy Time Shift","Renewable Energy Time Shift (Firming)","","Operating Reserve (Supplementary)","","","","","","","","Distribution Upgrade Deferral","","","","","","Solar PV","As part of an EPRI collaborative research and development (R&amp;D) project to evaluate the performance and reliability of a variety of grid-connected Li-ion battery technologies, San Diego Gas &amp; Electric (SDG&amp;E) installed a 50 kW / 82 kWh Greensmith Energy lithium-iron-phosphate distributed energy storage system (DESS) at the utility’s test facility. For this overarching collaborative demonstration, EPRI’s Energy Storage Program (P94) and Distributed Renewables Program (P174) are working in partnership with select utility members to investigate PV-battery integration capabilities. Serving as a “host” utility to EPRI’s supplemental demonstration initiative, SDG&amp;E installed a Greensmith DESS in a grid-connected configuration in June 2011 and has been conducting operating evaluations of the unit over the past 6 months.  Testing and operating evaluation conducted by SDG&amp;E encompasses exercising the DESS’s various modes of operation, which include:  - Constant power charge/discharge schedule; - Peak shaving; and - PV smoothing.","http://energy.gov/sites/prod/files/2014/06/f17/EACJune2014-4Bialek.pdf","United States","San Diego","null","California","8330 Century Park Ct","92123","32.8234495","-117.14","null","01-06-2011","null","null","null","NO","Secondary Distribution","null","CAISO","null","Investor Owned","null","1","Greensmith Energy","Greensmith Energy","SDG&amp;E","null","null","null","null","null","Third-Party-Owned","null","Electric Power Research Institute (EPRI)","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Subsystem 1","343.1","Electro-chemical battery and chemical storage","Lithium-ion battery","","null","null","null","null","null","null","null","null","null","null","50","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"344","GESDB","EPRI Energy Storage System Demonstration - NEC","Operational","25","1.92","48","Electric Energy Time Shift (Arbitrage)","Renewable Energy Time Shift","Renewable Energy Time Shift (Firming)","Operating Reserve (Supplementary)","","","","","","","","Distribution Upgrade Deferral","","","","","","Solar PV","The battery unit is one of several that are being tested by EPRI at its Power Delivery &amp; Utilization (PDU) Lab in Knoxville, TN. The system, along with the other Distributed Energy Storage Systems (DESS's), was installed in early/mid 2011 and has since been operating under various stages of testing against EPRI’s DESS test protocol.","http://mydocs.epri.com/docs/publicmeetingmaterials/1104/4ANZGWRJTYQ/E236208_14._B.Kaun_Energy_Storage_Testing_and_Demos.pdf","United States","Knoxville","null","Tennessee","942 Corridor Park Blvd.","null","35.9220262","-84.14","null","01-06-2011","null","null","null","NO","Secondary Distribution","null","","null","Public Owned","null","1","NEC Energy Solutions, Inc.","null","null","null","null","null","null","null","Customer-Owned","null","Electric Power Research Institute (EPRI)","null","null","null","null","null","Private/Third Party RD&amp;D","null","null","null","null","null","null","null","null","Subsystem 1","344.1","Electro-chemical battery and chemical storage","Lithium-ion battery","Lithium-iron phosphate battery","null","null","null","null","null","null","null","null","null","null","25","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"345","GESDB","EPRI Energy Storage System Demonstration - Beckett Energy Systems","Operational","25","0.5","12.5","Electric Energy Time Shift (Arbitrage)","Renewable Energy Time Shift","Renewable Energy Time Shift (Firming)","Operating Reserve (Supplementary)","","","","","","","","Distribution Upgrade Deferral","","","","","","Solar PV","The battery unit is one of several that are being tested by EPRI at its Power Delivery &amp; Utilization (PDU) Lab in Knoxville, TN. The system, along with the other Distributed Energy Storage Systems (DESS's), was installed in early/mid 2011 and has since been operating under various stages of testing against EPRI’s DESS test protocol.","http://mydocs.epri.com/docs/publicmeetingmaterials/1104/4ANZGWRJTYQ/E236208_14._B.Kaun_Energy_Storage_Testing_and_Demos.pdf","United States","Knoxville","null","Tennessee","942 Corridor Park Blvd","null","35.9220262","-84.14","null","01-06-2011","null","null","null","NO","Secondary Distribution","null","","null","Public Owned","null","1","null","Beckett Energy Systems","null","null","null","null","null","null","Customer-Owned","null","Electric Power Research Institute (EPRI)","null","null","null","null","null","Private/Third Party RD&amp;D","null","null","null","null","null","null","null","null","Subsystem 1","345.1","Electro-chemical battery and chemical storage","Lithium-ion battery","Lithium-iron phosphate battery","null","null","null","null","null","null","null","null","null","null","25","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"346","GESDB","Ford Manufacturing Assembly Plant - Xtreme Power","De-Commissioned","750","2.67","2002.5","Renewable Energy Time Shift (Firming)","","","","","","","","","","","","","","","","","Grid","*** This project has been De-Commissioned  Younicos integrated their Dynamic Power Resource with a solar power-run Ford car manufacturing plant in Dearborn Michigan.  The Storage System helps to even out the intermittent solar resource.","http://www.pv-tech.org/news/project_focus_detroit_edison_xtreme_power_install_pv_system_at_fords_michig","United States","Dearborn","null","Michigan","3001 Miller Road","48120","42.298855","-83.149457","null","01-06-2011","null","01-01-2014","null","NO","null","null","MISO","null","Investor Owned","null","1","null","Eaton","Younicos","null","Younicos","null","null","null","Third-Party-Owned","null","Ford Motor Company","null","null","null","null","null","Private/Third Party Grant","null","State/Provincial/Regional Grant","null","null","null","null","null","null","Subsystem 1","346.1","Electro-chemical battery and chemical storage","Lead-acid battery","Advanced lead-acid battery","null","null","null","null","null","null","null","null","null","null","750","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"348","GESDB","UC San Diego Panasonic / Sanyo Energy System","De-Commissioned","30","1","30","Renewable Energy Time Shift","","","","","","","","","","","","","","","","","null","Since July 2011, UCSD has served as the site host to a 30 kW / 30 kWh PV integrated storage system from Panasonic/Sanyo.","http://us.sanyo.com/News/SANYO-and-UCSD-Sign-Multi-Year-Multi-Disciplinary-Research-Agreement-for-Renewable-Energy-to-Pioneer-the-Next-Generation-of-Energy-Management","United States","La Jolla","null","California","9500 Gilman Dr","92093","32.8769207","-117.24","06-06-2010","01-07-2011","null","04-14-2014","null","NO","Transmission","null","CAISO","null","Cooperative (Customer Owned)","null","1","Sanyo Electric Co.","null","null","null","null","UC San Diego","Sanyo Electric Co.","null","Customer-Owned","null","UC San Diego","null","null","null","null","null","State/Provincial/Regional Commercialization Incentive*","null","null","null","null","null","null","null","null","Subsystem 1","348.1","Electro-chemical battery and chemical storage","Lithium-ion battery","","null","null","null","null","null","null","null","null","null","null","30","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
